Administered,Total Doses Administered Daily,Daily Count People Receiving Dose 1,TotalDosesAdministeredCumulative,PeopleReceiving1orMoreDosesCumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,DailyCountofPeopleFullyVaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,State,Date,NewDeaths,7-Day Moving Avg,Historic Deaths
309952632,1345206,614097,309952632,171891421,654326,1384940,798259,144624048,792894,United States,May 27 2021,544,470,0
308607426,1432499,661119,308607426,171277324,698305,1480958,837981,143825789,847003,United States,May 26 2021,525,468,0
307174927,1435547,668288,307174927,170616205,744751,1574234,838961,142987808,895917,United States,May 25 2021,506,479,0
305739380,1319348,635656,305739380,169947917,790699,1664855,751713,142148847,942525,United States,May 24 2021,353,493,217
304420032,657959,338909,304420032,169312261,826458,1736437,347066,141397134,979632,United States,May 23 2021,289,496,0
303762073,1448320,730200,303762073,168973352,846233,1775671,771870,141050068,999556,United States,May 22 2021,401,518,0
302313753,2055699,932011,302313753,168243152,871572,1832343,1204408,140278198,1030945,United States,May 21 2021,674,523,0
300258054,2017333,921950,300258054,167311141,894269,1888539,1177024,139073790,1064293,United States,May 20 2021,528,526,0
298240721,2085430,986246,298240721,166389191,894872,1925247,1180375,137896766,1097261,United States,May 19 2021,607,535,0
296155291,2069895,989920,296155291,165402945,845850,1914847,1165219,136716391,1134158,United States,May 18 2021,604,548,0
294085396,1820421,885967,294085396,164413025,798095,1911230,1011462,135551172,1175137,United States,May 17 2021,373,549,0
292264975,932596,477339,292264975,163527058,740288,1880083,486531,134539710,1198545,United States,May 16 2021,439,556,0
291332379,1845026,907568,291332379,163049719,701319,1834655,991599,134053179,1191575,United States,May 15 2021,437,552,0
289487353,2449071,1090890,289487353,162142151,643814,1790160,1437843,133061580,1205360,United States,May 14 2021,696,578,0
287038282,2274290,926176,287038282,161051261,600588,1797893,1407796,131623737,1255710,United States,May 13 2021,590,595,0
284763992,2012630,643087,284763992,160125085,578715,1832391,1438658,130215941,1314428,United States,May 12 2021,702,607,0
282751362,2044575,655635,282751362,159481998,602858,1908352,1452073,128777283,1367148,United States,May 11 2021,612,610,0
280706787,1602393,481321,280706787,158826363,625309,1972675,1175318,127325210,1410704,United States,May 10 2021,422,621,0
279104394,614602,204557,279104394,158345042,647356,2023742,437738,126149892,1443162,United States,May  9 2021,406,629,0
278489792,1533560,505030,278489792,158140485,664570,2061406,1088093,125712154,1464272,United States,May  8 2021,620,643,0
276956232,2503198,788307,276956232,157635455,693141,2105840,1790296,124624061,1475501,United States,May  7 2021,815,643,0
274453034,2515782,773066,274453034,156847148,738421,2162958,1818822,122833765,1484594,United States,May  6 2021,672,641,0
271937252,2544351,812087,271937252,156074082,786334,2237982,1807698,121014943,1507910,United States,May  5 2021,723,654,0
269392901,2494837,812793,269392901,155261995,833381,2314869,1756965,119207245,1530855,United States,May  4 2021,694,672,0
266898064,1959867,635652,266898064,154449202,874920,2371144,1402524,117450280,1535885,United States,May  3 2021,474,650,0
264938197,878249,325055,264938197,153813550,917190,2431663,585508,116047756,1540385,United States,May  2 2021,503,652,0
264059948,1844596,705025,264059948,153488495,940713,2447870,1166692,115462248,1527571,United States,May  1 2021,626,642,0
262215352,2903023,1105268,262215352,152783470,983279,2499308,1853947,114295556,1530410,United States,Apr 30 2021,796,647,0
259312329,3040952,1108455,259312329,151678202,1018252,2554209,1982036,112441609,1537846,United States,Apr 29 2021,768,655,0
256271377,3082556,1141417,256271377,150569747,1059458,2618105,1968311,110459573,1548609,United States,Apr 28 2021,847,658,0
253188821,2888762,1103566,253188821,149428330,1093353,2672849,1792179,108491262,1560417,United States,Apr 27 2021,541,649,0
250300059,2383503,931543,250300059,148324764,1129491,2720683,1434021,106699083,1566631,United States,Apr 26 2021,487,677,0
247916556,991698,489714,247916556,147393221,1151029,2748269,495813,105265062,1571067,United States,Apr 25 2021,433,677,0
246924858,2204663,1002991,246924858,146903507,1157912,2768281,1186562,104769249,1583487,United States,Apr 24 2021,663,687,0
244720195,3287332,1350081,244720195,145900516,1180686,2790423,1906000,103582687,1582173,United States,Apr 23 2021,847,683,0
241432863,3488220,1396894,241432863,144550435,1221017,2834780,2057377,101676687,1585586,United States,Apr 22 2021,794,679,0
237944643,3465763,1378679,237944643,143153541,1271638,2870961,2050965,99619310,1570366,United States,Apr 21 2021,779,679,0
234478880,3223605,1356535,234478880,141774862,1321575,2903085,1835679,97568345,1552613,United States,Apr 20 2021,740,682,0
231255275,2576605,1082307,231255275,140418327,1376449,2939247,1465076,95732666,1535961,United States,Apr 19 2021,488,683,0
228678670,1131782,537900,228678670,139336020,1455145,3002435,582748,94267590,1573187,United States,Apr 18 2021,503,692,0
